Item,Part Number,Thumbnail,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
1,1x2x28,(NonDisplayable),Normal,1,2,,,
2,1x2x20,(NonDisplayable),Normal,1,2,,,
3,11x2x8in,(NonDisplayable),Normal,1,4,,,
4,3 in churro,(NonDisplayable),Normal,1,8,,,
5,side plate,(NonDisplayable),Normal,1,2,,,
6,Tire,(NonDisplayable),Normal,1,2,,,ANY
7,#4x1.00, Plastic Thread Rolling Screw, Pan Head, Cross Recessed, Zinc Plated (Plastic Applications)_Fastenal__5E0B_15FCAA,(NULL),Normal,1,12,,,ANY
8,Hub,(NULL),Normal,1,4,,,ANY
9,shaftcollar,(NonDisplayable),Normal,1,8,,,
10,217-2653.20121204,(NonDisplayable),Normal,1,4,,STEP AP203,ANY
11,spacer,(NonDisplayable),Normal,1,4,,,
12,bearing,(NonDisplayable),Normal,1,2,,,
13,am-0736_S35-12DHE,(NonDisplayable),Normal,1,2,,Unknown, NONE
14,6 wheel Rev 4,(NULL),Normal,1,8,,,ANY
15,6 wheel tread II,(NULL),Normal,1,8,,,ANY
16,am-0077a-500 Key Hub r2,(NULL),Normal,1,4,,STEP AP214,ANY
17,217-2655.20121204,(NULL),Normal,1,4,,STEP AP203,ANY
18,half-inch hex bolt,(NonDisplayable),Normal,1,6,,,
19,half-inch hex nut,*Varies*,Normal,1,8,,,
20,wheel arm support,(NonDisplayable),Normal,1,1,,,
21,Single_d01,(NULL),Normal,1,2,,, NONE
22,10-32x0625_shcs,(NULL),Normal,1,8,,, NONE
23,r6zz,(NULL),Normal,1,2,,, NONE
24,Single_d03,(NULL),Normal,1,2,,, NONE
25,Single_d04,(NULL),Normal,1,2,,, NONE
26,Single_d02,(NULL),Normal,1,2,,, NONE
27,fr-8-zz,(NULL),Normal,1,2,,, NONE
28,CIM motor,(NonDisplayable),Normal,1,4,,, NONE
29,250_washer,(NULL),Normal,1,2,,, NONE
30,14-20x0500_bhcs,(NULL),Normal,1,2,,, NONE
31,Single_d05,(NULL),Normal,1,4,,, NONE
32,Toughbox-nano-d01_9,(NULL),Normal,1,1,,,ANY
33,50T 20dp 500hex,(NULL),Normal,1,1,,,ANY
34,FR8ZZ Hex Bearing,(NULL),Normal,1,1,,,ANY
35,FR6ZZ Bearing-ab,(NULL),Normal,1,1,,,ANY
36,R6ZZ Bearing_smart,(NULL),Normal,1,1,,,ANY
37,FR6_smart,(NULL),Normal,1,1,,,ANY
38,14T CIM Gear,(NULL),Normal,1,1,,,ANY
39,14T 20dp 375hex_Inch - Spur gear 20DP 14T 14.5PA .568FW ---S14N3.0H2.0L0.25N,(NULL),Normal,1,1,,,ANY
40,50T 20dp 375hex_Inch - Spur gear 20DP 50T 14.5PA .372FW ---S50N3.0H2.0L0.25N,(NULL),Normal,1,1,,,ANY
41,Toughbox Small Hex Shaft,(NULL),Normal,1,1,,,ANY
42,Spacer am-1151,(NULL),Normal,1,1,,,ANY
43,BHCS 10-32 x 0.375 phillips_SBHCSCREW 0.19-32x0.5-HX-C,(NULL),Normal,1,2,,,ANY
44,5-16 washer_smart,(NULL),Normal,1,2,,,ANY
45,2mm x 2mm x 10mm Machine Key_smart,(NULL),Normal,1,1,,,ANY
46,8mm_spring_clip am-0033,(NULL),Normal,1,1,,,ANY
47,500-e-klip_smart,(NULL),Normal,1,1,,,ANY
